Participant,Word,Affix,LogRT,RT
Part_14,appetitlig,lig,6.454238984,635.3900002580641
Part_17,appetitlig,lig,6.842854025,937.1599996265992
Part_15,appetitlig,lig,6.839958121,934.4500000782024
Part_4,appetitlig,lig,6.834506937,929.3699997766746
Part_6,appetitlig,lig,6.795191101,893.5399996741766
Part_11,appetitlig,lig,7.062679945,1167.5700000944094
Part_12,appetitlig,lig,7.466502118,1748.4799998911378
Part_21,appetitlig,lig,6.926213866,1018.6299997900848
Part_10,appetitlig,lig,6.765822983,867.679999919522
Part_3,appetitlig,lig,6.707338996,818.3900003282293
Part_16,appetitlig,lig,6.649890875,772.7000000467185
Part_13,appetitlig,lig,6.703543878,815.2899998615032
Part_5,appetitlig,lig,6.950249475,1043.4100004230995
Part_22,appetitlig,lig,6.769538642,870.9099999936185
Part_8,appetitlig,lig,7.118866734,1235.049999910449
Part_9,appetitlig,lig,6.820954789,916.8600001419107
Part_18,appetitlig,lig,6.750539908,854.5200001862569
Part_7,appetitlig,lig,6.98953801,1085.2199995686483
Part_2,appetitlig,lig,6.853256854,946.9600003355662
Part_1,appetitlig,lig,6.895540987,987.8599997011148
Part_20,appetitlig,lig,6.742078427,847.3199997320302
Part_19,appetitlig,lig,6.743870712,848.8400003880478
Part_11,basere,ere,6.685736095,800.8999997359942
Part_17,basere,ere,7.16495237,1293.2999994552638
Part_5,basere,ere,6.515601185,675.6000000448297
Part_18,basere,ere,6.840803181,935.2400001469846
Part_20,basere,ere,6.445338794,629.7599997330866
Part_12,basere,ere,6.624596295,753.3999998056674
Part_1,basere,ere,6.687769237,802.5299996123723
Part_14,basere,ere,6.746400378,850.9900003208095
Part_15,basere,ere,6.78769841,886.869999888844
Part_4,basere,ere,6.972999801,1067.4200001680783
Part_7,basere,ere,6.561256949,707.1600002561173
Part_2,basere,ere,6.946918298,1039.9399998300105
Part_21,basere,ere,6.739312958,844.9799996298872
Part_19,basere,ere,6.576344213,717.9099999985149
Part_13,basere,ere,6.779569573,879.6900002794189
Part_8,basere,ere,6.960954755,1054.6399995257136
Part_10,basere,ere,6.673891976,791.4700000899275
Part_16,basere,ere,6.57546628,717.279999707974
Part_22,basere,ere,6.919911097,1012.2300002508814
Part_3,basere,ere,6.7538579,857.3599996529906
Part_17,blokere,ere,6.399293526,601.4200001575219
Part_20,blokere,ere,6.952307906,1045.5599999673827
Part_5,blokere,ere,6.456942325,637.1099999220704
Part_8,blokere,ere,6.998135143,1094.5900000977117
Part_15,blokere,ere,6.778022377,878.3299997947009
Part_4,blokere,ere,6.800760095,898.5300003164174
Part_11,blokere,ere,6.659140062,779.8800002384419
Part_13,blokere,ere,6.619126091,749.2899996314949
Part_21,blokere,ere,6.696725558,809.7499999583474
Part_9,blokere,ere,6.493935366,661.119999675245
Part_2,blokere,ere,6.746412129,851.0000003630589
Part_3,blokere,ere,6.578195099,719.2400000262978
Part_22,blokere,ere,6.960101019,1053.7399996268994
Part_1,blokere,ere,6.565405805,710.0999998664672
Part_14,blokere,ere,6.750083407,854.1299999761673
Part_18,blokere,ere,6.74222004,847.4399997557335
Part_19,blokere,ere,6.612484485,744.3300000880693
Part_6,blokere,ere,6.633107885,759.8400001513514
Part_7,blokere,ere,6.5806530070000004,721.0100001339014
Part_12,blokere,ere,6.561426627,707.2799999310058
Part_10,blokere,ere,6.414180009,610.4400002303348
Part_16,blokere,ere,6.462904644,640.9199999104768
Part_1,byttede,ede,7.256939235,1417.909999429733
Part_6,byttede,ede,6.442747151,628.1299997394746
Part_3,byttede,ede,6.977113417,1071.8199999094863
Part_4,byttede,ede,6.597895762,733.5500003039444
Part_7,byttede,ede,6.75438263,857.8100002196823
Part_14,byttede,ede,6.440850842,626.9399998281715
Part_10,byttede,ede,6.453372999,634.8400002289501
Part_12,byttede,ede,6.651688146,774.0900000777126
Part_13,byttede,ede,6.550623088,699.6800002346654
Part_22,byttede,ede,6.892113583,984.4800000076988
Part_19,byttede,ede,6.609995934,742.4799997868059
Part_16,byttede,ede,6.510288102,672.0200000100567
Part_21,byttede,ede,6.633647327,760.2500003364306
Part_5,byttede,ede,6.398095642,600.7000000864315
Part_17,byttede,ede,6.436550929,624.2499999001933
Part_2,byttede,ede,6.50814301,670.5800003022924
Part_15,byttede,ede,6.630841684,758.1199996527056
Part_11,byttede,ede,6.650692934,773.3199996409468
Part_9,byttede,ede,6.579042857,719.8500000198937
Part_8,byttede,ede,6.702549873,814.4800001637589
Part_20,byttede,ede,6.478125544,650.7500000815554
Part_18,byttede,ede,6.425500915,617.3900000111657
Part_22,duftede,ede,6.663349786,783.1699999291769
Part_7,duftede,ede,6.754650718,858.0399996156822
Part_3,duftede,ede,6.654010758,775.8900003429023
Part_1,duftede,ede,7.487537774,1785.6500007373593
Part_13,duftede,ede,6.571638979,714.5399999943129
Part_17,duftede,ede,7.15216705,1276.870000313936
Part_10,duftede,ede,6.607055509,740.2999996675666
Part_2,duftede,ede,6.605135526,738.8799998772492
Part_12,duftede,ede,6.287542525,537.829999947372
Part_5,duftede,ede,6.567515956,711.6000001482406
Part_14,duftede,ede,6.638947298,764.2899997740354
Part_8,duftede,ede,6.742998553,848.099999688192
Part_16,duftede,ede,6.449110889,632.1400002512812
Part_21,duftede,ede,6.737476911,843.4300000080138
Part_4,duftede,ede,6.602723568,737.0999998560864
Part_19,duftede,ede,6.89074136,983.1300003707606
Part_6,duftede,ede,6.643203624,767.5500000620099
Part_9,duftede,ede,6.57575901,717.489999817455
Part_20,duftede,ede,6.45927828,638.5999998207569
Part_11,duftede,ede,6.801383141,899.0900002737453
Part_18,duftede,ede,6.650615344,773.260000069888
Part_15,duftede,ede,6.289919632,539.1100001510443
Part_1,dyrkede,ede,6.551051763,699.9799998553408
Part_17,dyrkede,ede,6.734341926,840.7899999519152
Part_3,dyrkede,ede,6.642512877,767.0200002710731
